invoice_id,customer_id,product_id,invoice_date,quantity,unit_price,discount_pct,billed_amount
INV0,C38,P5,2024-07-08,21,73.4,0,1541.4
INV1,C14,P2,2024-07-22,21,159.8,0,3355.8
INV2,C14,P6,2024-09-14,20,58.71,0,1174.2
INV3,C23,P4,2024-07-04,22,73.4,0,1614.8
INV4,C42,P2,2024-09-19,7,159.8,0,1118.6
INV5,C30,P5,2024-10-22,22,73.4,0,1614.8
INV6,C24,P2,2024-09-04,20,159.8,0,3196.0
INV7,C49,P9,2024-07-21,6,144.57,5,824.05
INV8,C27,P9,2024-07-31,20,134.24,5,2550.56
INV9,C45,P1,2024-11-24,20,192.61,0,3852.2
INV10,C8,P9,2024-07-17,22,156.21,0,3436.62
INV11,C29,P0,2024-06-26,26,106.18,0,2760.68
INV12,C34,P3,2024-07-17,18,139.8,0,2516.4
INV13,C25,P6,2024-08-17,19,54.76,5,988.42
INV14,C13,P7,2024-09-23,20,159.56,5,3031.64
INV15,C44,P1,2024-07-08,20,179.39,5,3408.41
INV16,C24,P6,2024-06-28,16,58.71,0,939.36
INV17,C43,P8,2024-10-23,18,140.17,0,2523.06
INV18,C9,P2,2024-09-17,20,159.8,0,3196.0
INV19,C21,P1,2024-09-19,23,171.14,15,3345.79
INV20,C18,P9,2024-11-16,18,156.21,0,2811.78
INV21,C33,P7,2024-07-29,16,179.93,0,2878.88
INV22,C5,P5,2024-09-20,15,68.19,15,869.42
INV23,C29,P7,2024-07-25,25,159.17,10,3581.32
INV24,C30,P7,2024-07-06,21,179.93,0,3778.53
INV25,C14,P5,2024-09-26,17,73.4,0,1247.8
INV26,C1,P7,2024-06-26,17,179.93,0,3058.81
INV27,C5,P9,2024-09-26,23,156.21,0,3592.83
INV28,C19,P0,2024-10-18,14,96.95,5,1289.44
INV29,C37,P4,2024-10-04,15,73.4,0,1101.0
INV30,C42,P2,2024-11-08,18,159.8,0,2876.4
INV31,C4,P6,2024-10-16,25,58.71,0,1467.75
INV32,C36,P8,2024-06-17,14,140.17,0,1962.38
INV33,C37,P6,2024-11-10,18,58.71,0,1056.78
INV34,C43,P1,2024-08-17,16,192.61,0,3081.76
INV35,C0,P7,2024-08-03,21,179.93,0,3778.53
INV36,C7,P8,2024-06-14,15,140.17,0,2102.55
INV37,C13,P9,2024-08-01,18,156.21,0,2811.78
INV38,C24,P1,2024-07-10,19,170.95,5,3085.65
INV39,C31,P2,2024-10-03,17,159.8,0,2716.6
INV40,C14,P0,2024-10-31,18,90.43,0,1627.74
INV41,C1,P4,2024-09-12,16,69.48,10,1000.51
INV42,C5,P5,2024-08-06,11,68.19,0,750.09
INV43,C14,P0,2024-11-02,24,90.43,15,1844.77
INV44,C32,P4,2024-11-02,23,68.37,5,1493.88
INV45,C21,P1,2024-06-10,20,171.14,0,3422.8
INV46,C37,P3,2024-09-17,14,129.48,5,1722.08
INV47,C28,P7,2024-06-05,20,179.93,0,3598.6
INV48,C44,P1,2024-11-02,22,179.39,5,3749.25
INV49,C35,P9,2024-07-13,21,143.35,10,2709.32
INV50,C9,P7,2024-07-08,16,168.62,5,2563.02
INV51,C25,P9,2024-10-19,14,156.21,0,2186.94
INV52,C32,P7,2024-07-30,21,179.93,0,3778.53
INV53,C47,P3,2024-10-11,28,130.71,5,3476.89
INV54,C41,P0,2024-08-31,18,106.18,0,1911.24
INV55,C28,P7,2024-07-11,28,179.93,0,5038.04
INV56,C45,P4,2024-10-27,15,73.4,0,1101.0
INV57,C22,P8,2024-06-01,26,140.17,0,3644.42
INV58,C39,P4,2024-11-22,10,73.4,0,734.0
INV59,C25,P8,2024-07-05,19,140.17,0,2663.23
INV60,C10,P5,2024-10-08,11,66.14,0,727.54
INV61,C26,P0,2024-10-06,16,94.86,10,1365.98
INV62,C23,P8,2024-11-27,19,140.17,0,2663.23
INV63,C48,P5,2024-11-01,14,64.36,15,765.88
INV64,C27,P7,2024-07-19,17,156.06,0,2653.02
INV65,C29,P6,2024-11-26,16,58.71,0,939.36
INV66,C31,P0,2024-11-20,18,106.18,0,1911.24
INV67,C18,P1,2024-06-01,24,192.61,0,4622.64
INV68,C1,P5,2024-09-21,9,62.87,5,537.54
INV69,C3,P0,2024-06-08,18,95.03,10,1539.49
INV70,C45,P1,2024-10-02,19,192.61,0,3659.59
INV71,C2,P7,2024-08-11,15,179.93,0,2698.95
INV72,C46,P7,2024-11-09,21,154.08,5,3073.9
INV73,C15,P3,2024-11-12,7,139.8,0,978.6
INV74,C47,P1,2024-06-07,22,177.7,10,3518.46
INV75,C20,P2,2024-09-20,15,159.8,0,2397.0
INV76,C17,P1,2024-10-07,25,176.5,5,4191.88
INV77,C41,P1,2024-09-27,11,192.61,0,2118.71
INV78,C37,P8,2024-07-23,24,140.17,0,3364.08
INV79,C9,P7,2024-07-29,19,168.62,0,3203.78
INV80,C13,P8,2024-07-10,23,140.17,0,3223.91
INV81,C8,P5,2024-06-22,20,73.4,0,1468.0
INV82,C22,P4,2024-08-14,25,66.19,0,1654.75
INV83,C41,P3,2024-07-11,10,119.44,0,1194.4
INV84,C24,P5,2024-09-30,23,73.4,0,1688.2
INV85,C21,P4,2024-06-27,21,73.4,0,1541.4
INV86,C6,P9,2024-11-20,25,156.21,0,3905.25
INV87,C45,P1,2024-07-24,23,192.61,0,4430.03
INV88,C35,P2,2024-06-26,12,159.8,0,1917.6
INV89,C10,P3,2024-09-21,23,139.8,0,3215.4
INV90,C33,P6,2024-09-19,30,52.39,15,1335.94
INV91,C32,P9,2024-07-06,9,156.21,0,1405.89
INV92,C42,P0,2024-09-17,15,106.18,0,1592.7
INV93,C1,P4,2024-08-12,12,69.48,0,833.76
INV94,C24,P7,2024-07-12,19,179.93,0,3418.67
INV95,C49,P4,2024-09-16,23,73.4,0,1688.2
INV96,C33,P2,2024-09-09,19,159.8,0,3036.2
INV97,C15,P7,2024-08-22,23,179.93,0,4138.39
INV98,C22,P4,2024-09-26,27,66.19,10,1608.42
INV99,C25,P8,2024-09-17,22,140.17,0,3083.74
INV100,C15,P6,2024-10-23,15,58.71,0,880.65
INV101,C6,P4,2024-06-07,11,64.78,10,641.32
INV102,C38,P2,2024-10-24,20,145.12,5,2757.28
INV103,C13,P7,2024-09-16,14,159.56,10,2010.46
INV104,C36,P7,2024-09-16,21,167.0,0,3507.0
INV105,C3,P5,2024-10-31,23,73.4,0,1688.2
